SPEAKER,ENGLISH,KOREAN,JAPANESE,CHINESE
_,Yes,예,,
_,No,아니요,,
NPC,Meow! ,,,
,,,,
Cashier_neutral,Hello! ,안녕하세요!,,
_,"Um...<br>Pets aren't allowed, just so you know...",음… <br>애완동물은 원래 출입금지입니다.,,
_,What can I help you? ,무엇을 도와드릴까요?,,
_,That will be total [?] coins.<br>Are you okay with that?,총 [?] 코인이 되겠습니다.<br>구매를 진행해 드릴까요?,,
Cashier_happy,Thank you for your purchase. ,구매해주셔서 감사합니다.,,
_,Feel free to take your time. ,천천히 둘러보세요.,,
_,Please come again! ,안녕히 가세요!,,
_,Is there anything else? ,또 무엇을 도와드릴까요?,,
,,,,
NPC,I need water.<br>Water on top left.,,,
,,,,
NPC,Work is love. Love is work.,,,
,,,,
NPC,"""DO NOT plug in the water dispenser.""",,,
_,"""Or you'll be fired.""",,,
,,,,
Narration,* The air in this office feels stuffy.,,,
Narration,* Drink a cup of water?,,,
Tomato_thinking,Hmm. It's lukewarm.,,,
Narration,* You are hydrated to full health!,,,
,,,,
NPC,Robert: As expected. I'm the most diligent employee of the month!,,,
_,Michael: If only I had sat at my desk a minute longer...,,,
Tomato_neutral,"So, what do you receive for the reward?",,,
NPC,Robert: Is that even a question?<br>An honorable pat on the shoulder from the boss!,,,
_,David: I'm so jealous!,,,
,,,,
NPC,Robert: Our boss brought in a brand new water dispenser yesterday.,,,
_,He left it unplugged because lukewarm water is considered better for our health.,,,
_,Gosh! Our boss is always looking out for us.,,,
_,"The water dispenser is on the left.<br>Stay hydrated, my friend.",,,
,,,,
Boss_neutral,"14 minutes, 46 seconds, 480 milliseconds have passed.",,,
Friend_neutral,...Is it time to leave work?,,,
Boss_neutral,You're late.,,,
_,"Your co-workers have been producing profits for the world,",,,
_,while also handling your workload.,,,
Friend_neutral,I would call it teamwork.,,,
_,You know what? I take that back.,,,
Boss_neutral,"For the punishment of your disgusting indolence,",,,
_,I hereby setence you a head shaving.,,,
,,,,
NPC,"""...this is some intense battle right here!""",,,
_,Will he be able to get up?,,,
_,...And the deadly battle continues!,,,
_,Once again with the rush!<br>This isn't looking too good!,,,
_,AND THERE'S THE SIGNATURE MOVE!<br>THE BIG SMACK!,,,
_,That's the cleanest hit I've ever witnessed!<br>Will he get up?,,,
_,And that's a KO!<br>Another magnificent victory for Big Smack!,,,
Friend_neutral,You sure love watching this ancient relic.,,,
Tomato_neutral,Love it?,,,
_,It's perfection.,,,
_,insert sound: knock knock knock,,,
NPC,I know you're in there!<br>Are you out of your mind?,,,
Friend_neutral,Relax.,,,
Friend_bottle,I'm just taking my coffee break.,,,
NPC,Boss is mad at you.,,,
_,Which means BIG trouble.,,,
Friend_neutral,Dang.,,,
_,Sigh.,,,
_,You better start looking for a real job.,,,
_,...or you'll end up like me.,,,
_,Guess I'm off to work.,,,
,,,,
Tomato_neutral,... ,,,
,,,,
NPC,These are Sam's test results from yesterday.,,,
_,"Honey, are you listening?",,,
,,,,
NPC,Did you figure out how to solve this problem? ,,,
